,Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,pet,nir,green,swir16,swir22,NDMI,MNDWI
0,-28.760833,17.730278,2011-02-01,128.912,555.0,10.0,174.2,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.01275080054398084
1,-26.861111,28.884722,2011-03-01,74.72,162.9,163.0,124.1,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211
2,-26.45,28.085833,2011-03-01,89.254,573.0,80.0,127.5,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494
3,-27.671111,27.236944,2011-03-01,82.0,203.6,101.0,129.7,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852
4,-27.356667,27.286389,2011-03-01,56.1,145.1,151.0,129.2,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826
5,-27.01011111,26.69808333,2011-04-01,82.2,289.8,192.0,98.6,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.01275080054398084
6,-25.127778,27.628889,2011-04-01,125.0,438.0,163.0,105.5,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741
7,-25.20639,27.558,2011-04-01,116.62,568.0,69.0,103.700005,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489
8,-24.69514,27.40906,2011-04-01,181.831,583.0,158.0,111.8,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377
9,-26.98472222,26.63227778,2011-04-01,196.0,452.0,158.0,98.200005,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067
10,-28.141944,26.417778,2011-04-01,94.718,227.9,132.0,93.8,14391.0,9840.0,13799.5,11265.0,0.020982245792022,-0.1674950823832984
11,-27.398611,26.614722,2011-04-01,86.8,226.3,114.0,100.9,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081
12,-33.501667,21.624167,2011-04-01,201.0,769.0,74.0,100.200005,14183.0,9801.0,13704.25,11265.25,0.02154871859009665,-0.1679009137759293
13,-32.502778,19.535833,2011-04-01,10.387,73.0,10.0,119.9,17653.0,13104.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326
14,-25.45963889,28.26430556,2011-04-01,108.94,396.0,82.0,103.6,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.2085318449117902
15,-27.495556,26.074722,2011-04-01,67.8,218.6,91.0,99.700005,17937.5,11044.5,18143.5,14152.5,-0.0057093761259388,-0.2432163902973816
16,-26.648056,27.089444,2011-05-01,211.0,532.0,62.0,83.5,19310.5,9597.0,12954.5,9447.5,0.1969936463660307,-0.1488814491275518
17,-26.970278,27.211111,2011-05-01,71.5,248.4,117.0,82.1,10218.0,11040.0,7946.5,7735.0,0.1250516116601056,0.01275080054398084
18,-27.38972222,26.46388889,2011-05-01,82.14,255.5,74.0,83.200005,11481.0,11597.0,8583.0,8196.5,0.1444377990430615,0.01275080054398084
19,-27.044444,27.005,2011-05-01,83.0,220.9,85.0,82.4,17418.5,9908.0,13987.0,10115.0,0.1092643008390246,-0.1707051684452807
20,-30.830556,26.921389,2011-06-01,62.099,145.0,10.0,57.0,5266.5,4491.0,3672.5,3764.5,0.1783197225640432,0.01275080054398084
21,-27.00222,28.76528,2011-06-01,34.855,114.5,150.0,70.0,13724.0,9691.0,13005.5,10754.5,0.0268804130268054,-0.1460357323816441
22,-27.02314,28.59389,2011-06-01,41.408,148.8,152.0,72.4,11490.5,9969.5,10372.5,9135.0,0.0511366235191874,-0.0198112280011797
23,-30.679722,26.7125,2011-06-01,55.297,138.3,44.0,59.8,13400.0,10548.0,7764.0,7659.0,0.266301266301265,0.01275080054398084
24,-30.160091,27.40124,2011-06-01,57.916,167.1,13.0,57.4,14158.0,10060.0,12037.5,10023.5,0.0809490179610998,-0.0894897612852128
